trial_index,seed,x_meters,y_meters,distance_meters,bearing_degrees
0,683707287,21.0544,-6.7105,22.0979,342.32
1,1312425798,-9.4136,-5.9218,11.1213,212.17
2,70255367,13.6703,-9.2971,16.5322,325.78
3,1961864900,-19.8480,-0.7581,19.8625,182.19
4,830719404,-16.1268,18.3669,24.4421,131.28
5,1945412230,5.9675,24.1418,24.8684,76.12
6,736193435,-8.0300,20.4814,21.9993,111.41
7,162900232,-15.5074,-12.8061,20.1116,219.55
8,597922605,-8.2872,-0.1107,8.2880,180.77
9,1681815528,-5.0868,7.9272,9.4189,122.69
10,674947314,-6.3100,18.2775,19.3360,109.05
11,2128763801,-4.8504,15.9601,16.6809,106.90
12,533788472,12.6972,-6.8057,14.4061,331.81
13,60732701,17.2884,18.0201,24.9723,46.19
14,920660359,18.0812,4.4333,18.6168,13.78
15,376598217,-7.9910,-3.3505,8.6649,202.75
16,483286178,7.2929,6.0309,9.4635,39.59
17,828096942,10.6637,-18.7986,21.6126,299.56
18,922442914,12.7570,-10.1484,16.3012,321.50
19,896202553,23.5950,8.4911,25.0763,19.79
20,1767575547,2.5161,13.3867,13.6211,79.36
21,1086672448,3.4035,-12.7231,13.1705,284.98
22,1143944272,-18.8359,7.3750,20.2283,158.62
23,1438400031,9.5354,-12.7752,15.9414,306.74
24,1252332160,18.4171,-16.7748,24.9115,317.67
25,625501721,5.4336,-7.9157,9.6012,304.47
26,618850843,7.9261,-18.0717,19.7335,293.68
27,1396125518,10.0953,8.7827,13.3810,41.02
28,483804015,-1.2103,9.6613,9.7368,97.14
29,96961956,22.3326,7.8437,23.6700,19.35
30,1635597687,0.1701,9.1705,9.1721,88.94
31,1010053372,22.4315,-8.5798,24.0164,339.07
32,173453512,2.1643,17.2032,17.3388,82.83
33,840416479,5.3360,-12.0460,13.1749,293.89
34,707182548,-14.9161,-5.2859,15.8250,199.51
35,217375934,-12.7843,19.2570,23.1143,123.58
36,1549146661,7.8389,-15.6952,17.5439,296.54
37,1196163984,11.5289,-9.7123,15.0746,319.89
38,407316524,0.1303,-11.7882,11.7889,270.63
39,123382222,9.5702,-20.1239,22.2836,295.43
40,1709704614,7.1376,-7.9979,10.7197,311.75
41,1446278448,-9.3832,17.7835,20.1072,117.82
42,1303656920,0.0162,-9.8927,9.8927,270.09
43,1009722006,23.4410,-7.0445,24.4766,343.27
44,1621988044,2.6330,15.4220,15.6451,80.31
45,2035835482,17.4764,5.1651,18.2237,16.46
46,1633400452,14.2801,6.0428,15.5060,22.94
47,1667182099,-14.4329,-11.7414,18.6056,219.13
48,434452920,8.0233,-2.0881,8.2905,345.41
49,381031224,-14.1790,-17.1714,22.2688,230.45
50,615014258,-4.1653,-10.9358,11.7022,249.15
51,253541507,5.7175,12.1910,13.4652,64.87
52,718059218,-6.8233,22.7400,23.7416,106.70
53,1537370902,2.5027,18.3479,18.5178,82.23
54,1103620121,3.6041,8.4980,9.2307,67.02
55,1744518486,10.5047,-9.5368,14.1880,317.77
56,168481526,9.4073,-8.6228,12.7612,317.49
57,779338983,4.1824,-22.3321,22.7203,280.61
58,709532740,-9.9826,14.4504,17.5632,124.64
59,205217683,0.6502,19.6177,19.6285,88.10
60,1326561387,7.6774,7.2469,10.5575,43.35
61,1487551564,12.1570,-6.4627,13.7681,332.00
62,1826579864,14.2659,6.6600,15.7439,25.03
63,500960649,10.5256,21.3280,23.7839,63.73
64,46217841,11.1996,-19.3973,22.3984,300.00
65,1812377589,14.8509,9.3105,17.5281,32.08
66,1955310289,6.0587,-20.6046,21.4769,286.39
67,1840855640,11.3777,-20.2170,23.1987,299.37
68,1501033800,-4.5878,13.8574,14.5971,108.32
69,703284425,-16.1566,8.6824,18.3418,151.75
70,974935203,-13.5843,2.8016,13.8702,168.35
71,1434605841,15.6090,-5.3282,16.4933,341.15
72,420780418,4.8875,-13.8734,14.7091,289.41
73,799060692,5.0037,-14.9250,15.7415,288.53
74,1333981586,17.1331,-10.1682,19.9232,329.31
75,321297099,-11.4380,-10.6621,15.6368,222.99
76,1930499175,1.0034,-8.3194,8.3797,276.88
77,134222266,4.1692,17.2641,17.7604,76.42
78,1963895634,-13.4502,17.8771,22.3718,126.96
79,1363980325,-10.9839,-4.7912,11.9834,203.57
80,1139584916,-16.8712,-1.3487,16.9250,184.57
81,1099152391,21.5950,-9.2638,23.4981,336.78
82,961672598,7.1067,-6.4682,9.6096,317.69
83,102772791,-5.8414,7.7667,9.7182,126.95
84,1629431345,14.9557,9.1505,17.5330,31.46
85,1382056180,4.5533,-17.7627,18.3370,284.38
86,291994154,-15.2434,16.2647,22.2913,133.14
87,783566257,-2.9716,-20.6332,20.8460,261.80
88,1884280005,-5.4265,6.6958,8.6186,129.02
89,1110147709,-18.9857,14.3403,23.7929,142.94
90,48894408,5.9010,14.3911,15.5540,67.70
91,769807678,2.1592,-16.9404,17.0774,277.26
92,486631244,-2.2669,20.1443,20.2715,96.42
93,202098841,1.4430,14.3829,14.4552,84.27
94,944304482,-15.2230,7.6083,17.0184,153.44
95,222153050,-9.2535,-16.8738,19.2446,241.26
96,1767182231,9.1160,-0.9482,9.1651,354.06
97,802696271,-7.7027,23.7388,24.9573,107.98
98,963504165,13.9897,-20.1512,24.5313,304.77
99,1957094102,13.1874,-15.8464,20.6159,309.77
100,80525193,18.7469,-2.2548,18.8820,353.14
101,1940028459,13.5061,-3.7028,14.0045,344.67
102,166148299,8.1452,1.8056,8.3429,12.50
103,1878652142,-0.9371,12.5581,12.5930,94.27
104,1553579668,10.8913,-8.2620,13.6704,322.82
105,1327892064,-17.2003,3.4192,17.5368,168.76
106,1980244736,16.9364,12.5699,21.0914,36.58
107,2066482173,2.4237,13.0238,13.2474,79.46
108,203389316,20.4603,5.3432,21.1465,14.64
109,782323022,-4.2153,15.2519,15.8237,105.45
110,1961502958,6.0214,-9.0247,10.8491,303.71
111,34259260,-13.8606,10.4106,17.3348,143.09
112,962926996,12.8564,18.2817,22.3497,54.88
113,1493036062,-10.5596,-0.8526,10.5939,184.62
114,1213116414,-24.0853,6.5046,24.9482,164.89
115,227408996,7.3911,-4.7594,8.7909,327.22
116,525878966,0.8556,-8.7259,8.7677,275.60
117,1723807073,-10.2614,4.0982,11.0495,158.23
118,1019012951,4.7146,-10.8006,11.7847,293.58
119,811645308,1.0126,-8.9047,8.9621,276.49
120,1520383435,-16.4633,5.9181,17.4947,160.23
121,1171744032,6.1107,-22.0555,22.8864,285.49
122,2104059282,6.3330,18.8078,19.8454,71.39
123,390886091,-8.9042,-9.8060,13.2455,227.76
124,654390017,23.8126,-6.2098,24.6090,345.38
125,205127525,-17.0007,8.9337,19.2051,152.28
126,947974597,-15.2019,10.0880,18.2446,146.43
127,218681577,-6.9123,21.5437,22.6254,107.79
128,2002239857,16.7041,12.6068,20.9274,37.04
129,1111828536,22.3640,-4.3840,22.7896,348.91
130,701598515,-7.2943,8.8876,11.4976,129.38
131,1127802904,7.9505,20.9715,22.4280,69.24
132,1318201748,13.1492,8.4849,15.6491,32.83
133,6801532,4.4505,23.4021,23.8215,79.23
134,1283455132,-5.3191,13.9224,14.9039,110.91
135,1347040104,-5.2508,24.1748,24.7385,102.25
136,933004092,-13.9297,-14.6328,20.2028,226.41
137,1230504103,-11.4499,16.0096,19.6826,125.57
138,696676770,7.4535,16.7281,18.3135,65.98
139,301539281,-11.8200,18.3577,21.8339,122.78
140,1549295091,-16.7370,10.4282,19.7199,148.07
141,372995628,10.2194,-10.2670,14.4861,314.87
142,580176941,-18.7679,11.3939,21.9558,148.74
143,1101956983,4.0988,-14.7383,15.2976,285.54
144,1296128398,-3.4903,17.7662,18.1058,101.11
145,14635148,-20.4014,-2.5450,20.5595,187.11
