altitude_m,h_speed_mps,v_speed_mps,cells,naive_full_distance_m,naive_discovery_steps,greedy_full_distance_m,greedy_discovery_steps,info_gain_full_distance_m,info_gain_discovery_steps
268.89,8.571,5.0,343,18707.16364742413,1157.9375,27417.20546605385,1888.88,3870.026837596203,333.135
51.11,14.286,5.0,110,1798.9037213325844,146.845,1679.8620484583769,74.395,686.5584412271577,39.3625
20.0,11.429,-5.0,10,308.5333022406561,24.295,63.31370849898477,2.92,45.65685424949238,2.9325
300.0,17.143,-10.0,353,24330.5909094237,1515.6725,29990.93966423861,2122.605,4426.810675567779,349.35
113.33,17.143,-5.0,225,4201.569475867244,333.3825,6689.888886054582,272.35,1459.4600282048243,108.55
113.33,8.571,-5.0,204,3244.333188782857,182.9825,5465.535639036309,220.755,1338.6072144624384,99.8525
113.33,2.857,-10.0,180,2411.3106437027163,102.285,5638.152954766514,232.0575,1207.460028204824,78.185
82.22,0.0,0.0,128,1381.38094023943,49.83,3211.801440851785,113.4475,770.5584412271576,42.845
300.0,14.286,5.0,357,28024.603716529982,1560.2675,31391.54514559755,2308.86,4358.075610831483,396.745
51.11,11.429,5.0,102,1612.7769530767375,130.8875,1576.146319705839,60.96,639.5290039756344,32.5925
268.89,20.0,0.0,361,23124.48383950258,1562.97,28298.78497636823,2253.985,4260.918323306104,349.6025
237.78,5.714,-10.0,327,12082.977699196812,666.86,23232.05164473514,1426.4575,3205.9292911256425,245.135
51.11,8.571,-10.0,43,698.5873261036909,42.6825,504.0487732352788,20.985,223.88225099390849,12.0425
237.78,17.143,5.0,348,19651.149646401045,1259.75,24291.962466428853,1862.395,3632.0369388639683,318.1225
175.56,14.286,0.0,303,9652.428643865369,646.7725,14647.24616847787,828.9825,2736.9099551418844,208.24
20.0,14.286,-5.0,12,331.03163491837944,28.745,82.62741699796953,3.215,63.31370849898477,3.3225
20.0,11.429,10.0,46,878.8456326195626,71.705,659.9310242291876,21.1625,285.1370849898475,12.4675
51.11,8.571,5.0,88,1418.8038574914278,95.69,1385.8031739553317,63.2625,515.6467529817253,33.2
113.33,0.0,0.0,201,2668.0869154657707,104.835,7340.955262170074,285.605,1281.5189027078698,84.14
113.33,5.714,-10.0,194,2668.66620748495,127.895,5273.1336187827565,223.31,1306.371716450256,78.445
206.67,14.286,10.0,335,14912.896054165905,1067.82,20897.838082361777,1491.52,3392.3699833467103,280.8675
237.78,20.0,10.0,362,21548.76671802244,1469.0475,25950.33418287905,2023.585,3971.565942839604,349.0775
20.0,11.429,0.0,18,421.1018447355799,35.505,156.5685424949238,5.2475,92.28427124746192,4.42
237.78,8.571,5.0,334,14984.742750697771,910.85,26039.30474562788,1625.9625,3428.203461105339,296.915
82.22,17.143,0.0,177,2924.8994382020273,235.5325,3959.8906191581277,161.4625,1038.558441227158,73.3875
300.0,8.571,0.0,358,22967.83700123177,1230.85,31250.408060607755,2165.0025,4441.036072312195,337.5525
268.89,11.429,5.0,343,19546.21529370302,1213.7525,27046.618454126918,1937.21,3870.5953800911275,345.0325
300.0,5.714,-10.0,358,19072.93959664404,1097.2375,31948.905894228345,2139.19,3877.742566348741,315.45
175.56,14.286,-10.0,303,8463.067640474763,498.95,13417.264637909813,736.435,2367.606347910665,196.6
113.33,0.0,5.0,206,3078.899297984279,136.17,7442.494367413476,335.51,1436.0285706997483,94.64
206.67,0.0,-10.0,305,7976.43294283438,436.5925,18765.025673690394,1060.0425,2588.792206135794,190.1125
237.78,17.143,0.0,349,17961.335491433958,1180.5925,24009.25770549578,1715.5275,3673.2227970890967,299.635
113.33,17.143,5.0,251,5850.4832603251625,428.825,7612.32957827565,350.6075,1831.2733034279224,137.17
20.0,2.857,0.0,12,287.59797974644664,6.0675,85.9411254969543,3.355,48.97056274847714,2.9775
300.0,20.0,10.0,363,30470.902020784506,1962.4325,34678.387858072325,2581.525,4990.506201784787,409.59
82.22,5.714,0.0,133,1863.4631291487556,85.7625,2673.4297244015283,102.79,809.8721497261425,47.7375
300.0,2.857,5.0,347,19795.67532368147,1186.1925,32711.88655824487,2067.385,4288.34978081118,345.8475
144.44,14.286,-10.0,259,5857.269861750467,352.035,8882.494367413448,449.655,1847.959594928938,137.96
82.22,5.714,-10.0,106,1418.6862723900372,60.9175,1978.469262920816,73.3125,669.5878784786802,37.805
113.33,0.0,-5.0,182,2327.3106437027163,98.77,6143.907355486567,242.7475,1211.9797974644687,80.51
