episode,total_reward
0,-169.75
1,-190.25
2,-188.25
3,-188.0
4,-179.5
5,-186.5
6,-183.5
7,-187.75
8,-183.25
9,-183.0
10,-191.5
11,-190.75
12,-188.5
13,-185.5
14,-180.25
15,-187.25
16,-188.75
17,-190.75
18,-195.0
19,-181.5
20,-190.5
21,-183.5
22,-183.5
23,-157.25
24,-179.25
25,-168.5
26,-192.5
27,-193.0
28,-183.5
29,-165.5
30,-177.5
31,-191.5
32,-153.0
33,-174.5
34,-193.5
35,-170.0
36,-188.5
37,-168.75
38,-160.0
39,-186.5
40,-169.0
41,-168.25
42,-185.5
43,-172.25
44,-194.25
45,-176.75
46,-165.5
47,-194.0
48,-168.25
49,-169.5
50,-163.25
51,-178.25
52,-180.25
53,-182.25
54,-186.25
55,-181.5
56,-171.25
57,-174.75
58,-184.0
59,-174.5
60,-178.5
61,-179.25
62,-173.25
63,-179.0
64,-186.75
65,-180.0
66,-185.5
67,-174.5
68,-172.5
69,-168.75
70,-191.25
71,-175.75
72,-186.75
73,-188.0
74,-189.0
75,-174.75
76,-188.75
77,-164.0
78,-176.0
79,-166.5
80,-164.0
81,-185.75
82,-157.5
83,-177.25
84,-163.75
85,-169.25
86,-179.25
87,-160.25
88,-161.0
89,-173.75
90,-178.0
91,-165.25
92,-164.25
93,-169.25
94,-164.75
95,-167.0
96,-178.0
97,-170.75
98,-170.0
99,-166.75
100,-167.0
101,-156.0
102,-177.25
103,-161.5
104,-186.75
105,-172.0
106,-178.25
107,-171.75
108,-163.75
109,-154.25
110,-156.25
111,-156.25
112,-169.0
113,-177.25
114,-163.5
115,-165.25
116,-155.5
117,-170.5
118,-167.0
119,-166.75
120,-163.0
121,-163.5
122,-158.5
123,-164.25
124,-151.0
125,-173.0
126,-161.25
127,-163.25
128,-170.5
129,-164.0
130,-179.25
131,-157.25
132,-173.25
133,-167.25
134,-162.75
135,-162.75
136,-183.0
137,-159.0
138,-159.5
139,-163.75
140,-164.5
141,-155.0
142,-162.75
143,-170.0
144,-158.5
145,-170.5
146,-166.0
147,-163.5
148,-159.25
149,-146.5
150,-146.25
151,-164.25
152,-160.5
153,-154.5
154,-151.75
155,-150.0
156,-164.5
157,-155.5
158,-153.25
159,-160.25
160,-150.75
161,-147.5
162,-157.5
163,-153.75
164,-140.0
165,-146.0
166,-140.0
167,-138.25
168,-139.25
169,-141.5
170,-135.5
171,-143.0
172,-144.75
173,-137.5
174,-140.75
175,-144.0
176,-145.5
177,-149.0
178,-139.75
179,-142.5
180,-140.5
181,-145.25
182,-155.25
183,-141.75
184,-138.75
185,-143.5
186,-136.0
187,-143.25
188,-148.0
189,-142.5
190,-144.25
191,-135.5
192,-145.5
193,-144.5
194,-137.5
195,-140.75
196,-144.75
197,-149.0
198,-148.0
199,-150.5
200,-147.5
201,-143.25
202,-155.0
203,-141.0
204,-146.25
205,-140.75
206,-140.0
207,-150.75
208,-142.5
209,-140.5
210,-152.0
211,-141.0
212,-141.0
213,-135.25
214,-135.0
215,-138.25
216,-135.25
217,-142.5
218,-140.75
219,-135.75
220,-138.5
221,-135.5
222,-138.5
223,-148.5
224,-141.75
225,-141.75
226,-132.25
227,-135.25
228,-134.25
229,-133.0
230,-137.0
231,-140.5
232,-138.75
233,-142.5
234,-136.25
235,-135.75
236,-135.5
237,-136.5
238,-133.75
239,-135.5
240,-134.5
241,-132.25
242,-135.5
243,-138.25
244,-136.0
245,-142.75
246,-141.25
247,-143.25
248,-136.25
249,-140.25
250,-134.0
251,-137.5
252,-134.5
253,-139.5
254,-134.5
255,-143.25
256,-131.5
257,-139.5
258,-130.5
259,-137.25
